Age,Gender,Ethnicity,School,Facebook in high regard,Instagram in high regard,lat,long
2,2,5,5,2,4,21.34300232,-157.934906
3,1,1,8,3,4,40.44059753,-79.99590302
3,1,1,8,4,4,39.59750366,-84.15599823
4,1,1,8,5,5,37.75100708,-97.8219986
2,2,1,9,7,7,28.02879333,-82.76889801
2,2,1,8,7,7,40.4651947,-74.23069763
3,1,1,5,6,7,34.0493927,-118.2640991
2,1,1,5,1,1,41.36799622,-72.45639801
3,1,1,3,6,4,35.61889648,-120.7668991
2,2,2,3,3,5,34.0144043,-117.2771988
3,1,1,5,6,3,32.84260559,-105.9890976
2,2,1,8,7,5,34.0493927,-118.2640991
4,1,1,8,5,5,40.73170471,-73.9885025
3,2,1,8,2,7,38.11289978,-122.1331024
4,2,1,8,6,4,41.10339355,-104.905899
3,1,1,8,1,1,28.2118988,-80.75830078
2,1,3,4,1,7,40.0256958,-74.89160156
3,1,1,8,5,4,39.27839661,-76.55699921
2,1,1,8,2,3,32.94900513,-96.43450165
3,1,1,5,1,7,40.76179504,-73.32929993
5,2,1,8,5,5,39.73510742,-75.66840363
3,2,1,10,7,7,29.63130188,-82.58139801
3,1,1,8,7,5,30.79170227,-81.57309723
4,1,1,8,6,6,29.42410278,-98.49359894
2,1,1,8,6,5,-12.98330688,-38.51669312
3,1,1,8,4,3,34.020401,-84.24449921
3,1,3,8,5,6,40.72140503,-74.00520325
2,1,1,8,3,3,45.67990112,-89.34600067
2,1,1,4,3,2,35.47799683,-120.4891052
2,2,1,7,2,6,33.37759399,-112.3873978
3,2,3,8,6,6,34.07640076,-118.2626038
2,1,2,8,5,5,33.43569946,-111.917099
3,2,3,8,1,7,45.02850342,-93.29889679
2,2,1,8,5,6,36.10780334,-86.76899719
3,2,1,8,1,2,41.603302,-87.75469971
2,1,5,5,6,6,29.55569458,-95.63349915
2,2,1,4,6,5,36.09860229,-95.92880249
3,1,1,4,7,1,39.9315033,-91.38400269
3,1,1,11,3,4,10.31669617,-72.3167038
3,1,1,8,1,5,43.043396,-87.89450073
2,2,1,8,7,3,26.69630432,-81.94290161
4,2,1,9,5,5,39.0223999,-94.31569672
3,1,5,8,3,4,33.89990234,-117.4404984
3,1,1,4,5,6,40.4066925,-80.1108017
5,2,1,9,6,1,40.78849792,-84.03359985
3,1,1,8,2,3,39.31610107,-76.57520294
3,2,1,9,7,3,36.09710693,-95.96269989
3,2,1,4,5,4,30.50349426,-88.14320374
3,1,1,8,2,3,42.29240417,-85.69080353
5,2,1,8,1,1,0,0
4,1,1,7,5,5,44.45239258,-73.18409729
4,2,1,8,5,5,42.52160645,-83.16329956
2,2,1,8,6,7,30.290802,-81.63300323
4,2,1,9,6,6,34.2868042,-118.6139984
2,2,5,5,6,6,33.74740601,-117.9938965
6,1,1,5,5,1,42.20930481,-70.93260193
2,1,1,5,4,5,30.09829712,-95.35700226
3,1,1,4,5,3,28.15109253,-82.46150208
3,1,1,4,2,5,47.63549805,-122.3235016
3,1,1,9,5,6,37.75100708,-97.8219986
3,1,3,8,7,6,25.7631073,-80.19110107
6,2,1,8,6,4,34.28529358,-92.14859772
2,1,1,9,3,1,40.55990601,-115.6155014
6,2,1,7,6,4,45.52879333,-122.3590012
3,1,5,8,6,4,40.28300476,-74.62169647
3,1,1,7,1,7,43.89880371,-69.97250366
3,1,3,8,7,7,28.53109741,-80.85230255
3,2,1,5,7,7,42.33180237,-83.3710022
3,2,1,11,7,7,10.31669617,-72.3167038
4,1,1,8,1,6,40.76179504,-73.32929993
3,2,1,8,4,7,40.79100037,-73.92559814
3,2,2,9,7,7,25.70140076,-80.35820007
3,1,1,10,1,6,40.77619934,-73.95480347
2,1,1,4,7,7,41.77589417,-72.52149963
5,2,1,8,3,3,45.67410278,-122.4714966
3,2,1,5,4,5,25.78059387,-80.18260193
3,1,1,8,3,4,33.50799561,-112.1253967
3,1,1,10,4,4,29.7203064,-95.31390381
3,1,1,9,3,2,42.63389587,-71.29570007
