ID,age,gender,ethnicity,school,TIME,Duration (in seconds),lat,long,Company,Regard,Privacy,Recommend
1,2,2,5,5,2:00,132,21.34300232,-157.934906,Facebook,2,7,5
2,3,1,1,8,4:00,228,40.44059753,-79.99590302,Facebook,3,2,4
3,3,1,1,8,4:00,285,39.59750366,-84.15599823,Facebook,4,5,1
4,4,1,1,8,4:00,251,37.75100708,-97.8219986,Facebook,5,8,7
5,2,2,1,9,5:00,274,28.02879333,-82.76889801,Facebook,7,8,7
6,2,2,1,8,5:00,303,40.4651947,-74.23069763,Facebook,7,6,10
7,3,1,1,5,5:00,311,34.0493927,-118.2640991,Facebook,6,5,9
8,2,1,1,5,5:00,304,41.36799622,-72.45639801,Facebook,1,0,0
9,3,1,1,3,5:00,338,35.61889648,-120.7668991,Facebook,6,1,5
10,2,2,2,3,5:00,319,34.0144043,-117.2771988,Facebook,3,2,5
11,3,1,1,5,5:00,301,32.84260559,-105.9890976,Facebook,6,8,9
12,2,2,1,8,4:00,258,34.0493927,-118.2640991,Facebook,7,7,8
13,4,1,1,8,5:00,319,40.73170471,-73.9885025,Facebook,5,6,6
14,3,2,1,8,6:00,388,38.11289978,-122.1331024,Facebook,2,1,4
15,4,2,1,8,6:00,381,41.10339355,-104.905899,Facebook,6,8,10
16,3,1,1,8,7:00,411,28.2118988,-80.75830078,Facebook,1,0,1
17,2,1,3,4,7:00,403,40.0256958,-74.89160156,Facebook,1,1,4
18,3,1,1,8,7:00,393,39.27839661,-76.55699921,Facebook,5,7,3
19,2,1,1,8,7:00,422,32.94900513,-96.43450165,Facebook,2,7,5
20,3,1,1,5,7:00,418,40.76179504,-73.32929993,Facebook,1,1,0
21,5,2,1,8,6:00,383,39.73510742,-75.66840363,Facebook,5,5,6
22,3,2,1,10,6:00,368,29.63130188,-82.58139801,Facebook,7,4,10
23,3,1,1,8,7:00,431,30.79170227,-81.57309723,Facebook,7,2,10
