ID,age,gender,ethnicity,school,TIME,Duration (in seconds),lat,long,FB_Regard_Rating,FB_Privacy_Rating,FB_Recommend,Insta_Regard_Rating,Insta_Privacy_Rating,Insta_Recommend,WA_Regard_Rating,WA_Privacy_Rating,WA_Recommend
1,2,2,5,5,02:00,132,21.34300232,-157.934906,2,7,5,4,7,7,2,5,7
2,3,1,1,8,04:00,228,40.44059753,-79.99590302,3,2,4,4,5,5,4,0,5
3,3,1,1,8,04:00,285,39.59750366,-84.15599823,4,5,1,4,0,0,4,0,0
4,4,1,1,8,04:00,251,37.75100708,-97.8219986,5,8,7,5,7,7,6,8,8
5,2,2,1,9,05:00,274,28.02879333,-82.76889801,7,8,7,7,8,7,5,1,1
6,2,2,1,8,05:00,303,40.4651947,-74.23069763,7,6,10,7,10,10,1,0,0
7,3,1,1,5,05:00,311,34.0493927,-118.2640991,6,5,9,7,8,10,1,5,5
8,2,1,1,5,05:00,304,41.36799622,-72.45639801,1,0,0,1,0,0,4,0,0
9,3,1,1,3,05:00,338,35.61889648,-120.7668991,6,1,5,4,2,0,1,2,0
10,2,2,2,3,05:00,319,34.0144043,-117.2771988,3,2,5,5,5,8,4,4,5
11,3,1,1,5,05:00,301,32.84260559,-105.9890976,6,8,9,3,5,5,4,2,5
12,2,2,1,8,04:00,258,34.0493927,-118.2640991,7,7,8,5,9,9,7,8,8
13,4,1,1,8,05:00,319,40.73170471,-73.9885025,5,6,6,5,6,6,5,7,6
14,3,2,1,8,06:00,388,38.11289978,-122.1331024,2,1,4,7,2,10,2,3,0
15,4,2,1,8,06:00,381,41.10339355,-104.905899,6,8,10,4,5,5,4,5,5
16,3,1,1,8,07:00,411,28.2118988,-80.75830078,1,0,1,1,1,5,4,5,5
17,2,1,3,4,07:00,403,40.0256958,-74.89160156,1,1,4,7,10,10,1,0,0
18,3,1,1,8,07:00,393,39.27839661,-76.55699921,5,7,3,4,5,3,4,7,1
19,2,1,1,8,07:00,422,32.94900513,-96.43450165,2,7,5,3,6,4,3,6,4
20,3,1,1,5,07:00,418,40.76179504,-73.32929993,1,1,0,7,1,7,7,2,10
21,5,2,1,8,06:00,383,39.73510742,-75.66840363,5,5,6,5,5,5,2,4,4
22,3,2,1,10,06:00,368,29.63130188,-82.58139801,7,4,10,7,5,10,1,0,0
23,3,1,1,8,07:00,431,30.79170227,-81.57309723,7,2,10,5,5,10,1,0,0
24,4,1,1,8,06:00,340,29.42410278,-98.49359894,6,5,7,6,6,7,6,7,8
25,2,1,1,8,06:00,369,-12.98330688,-38.51669312,6,6,6,5,7,8,6,7,9
26,3,1,1,8,06:00,393,34.020401,-84.24449921,4,7,5,3,6,4,2,4,6
27,3,1,3,8,06:00,411,40.72140503,-74.00520325,5,7,6,6,7,7,6,10,10
28,2,1,1,8,08:00,445,45.67990112,-89.34600067,3,5,2,3,4,1,1,0,0
29,2,1,1,4,06:00,376,35.47799683,-120.4891052,3,4,4,2,4,4,4,3,5
30,2,2,1,7,08:00,476,33.37759399,-112.3873978,2,2,1,6,10,8,1,0,0
